ZEIT;RAUM;MERKMAL;WERT
31.12.2003;87 Wolbeck;Wohnberechtigte Bevölkerung;8822
31.12.2003;91 Berg Fidel;Wohnberechtigte Bevölkerung;5835
31.12.2003;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;7047
31.12.2003;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9847
31.12.2003;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8934
31.12.2003;98 Amelsbüren;Wohnberechtigte Bevölkerung;5048
31.12.2004;11 Aegidii;Wohnberechtigte Bevölkerung;1313
31.12.2004;12 Überwasser;Wohnberechtigte Bevölkerung;1350
31.12.2004;13 Dom;Wohnberechtigte Bevölkerung;2086
31.12.2004;14 Buddenturm;Wohnberechtigte Bevölkerung;2223
31.12.2004;15 Martini;Wohnberechtigte Bevölkerung;1303
31.12.2004;21 Pluggendorf;Wohnberechtigte Bevölkerung;4213
31.12.2004;22 Josef;Wohnberechtigte Bevölkerung;8001
31.12.2004;23 Bahnhof;Wohnberechtigte Bevölkerung;1010
31.12.2004;24 Hansaplatz;Wohnberechtigte Bevölkerung;6362
31.12.2004;25 Mauritz-West;Wohnberechtigte Bevölkerung;5614
31.12.2004;26 Schlachthof;Wohnberechtigte Bevölkerung;4659
31.12.2004;27 Kreuz;Wohnberechtigte Bevölkerung;11688
31.12.2004;28 Neutor;Wohnberechtigte Bevölkerung;3750
31.12.2004;29 Schloss;Wohnberechtigte Bevölkerung;1880
31.12.2004;31 Aaseestadt;Wohnberechtigte Bevölkerung;5436
31.12.2004;32 Geist;Wohnberechtigte Bevölkerung;8670
31.12.2004;33 Schützenhof;Wohnberechtigte Bevölkerung;6892
31.12.2004;34 Düesberg;Wohnberechtigte Bevölkerung;6643
31.12.2004;43 Hafen;Wohnberechtigte Bevölkerung;908
31.12.2004;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5175
31.12.2004;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9732
31.12.2004;46 Rumphorst;Wohnberechtigte Bevölkerung;8087
31.12.2004;47 Uppenberg;Wohnberechtigte Bevölkerung;7297
31.12.2004;51 Gievenbeck;Wohnberechtigte Bevölkerung;17882
31.12.2004;52 Sentrup;Wohnberechtigte Bevölkerung;6684
31.12.2004;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9524
31.12.2004;56 Albachten;Wohnberechtigte Bevölkerung;4981
31.12.2004;57 Roxel;Wohnberechtigte Bevölkerung;7627
31.12.2004;58 Nienberge;Wohnberechtigte Bevölkerung;6604
31.12.2004;61 Coerde;Wohnberechtigte Bevölkerung;9902
31.12.2004;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5133
31.12.2004;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10966
31.12.2004;68 Sprakel;Wohnberechtigte Bevölkerung;2744
31.12.2004;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9690
31.12.2004;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3333
31.12.2004;77 Handorf;Wohnberechtigte Bevölkerung;7257
31.12.2004;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4762
31.12.2004;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;5928
31.12.2004;86 Angelmodde;Wohnberechtigte Bevölkerung;7623
31.12.2004;87 Wolbeck;Wohnberechtigte Bevölkerung;8710
31.12.2004;91 Berg Fidel;Wohnberechtigte Bevölkerung;5796
31.12.2004;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6952
31.12.2004;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9809
31.12.2004;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8831
31.12.2004;98 Amelsbüren;Wohnberechtigte Bevölkerung;5171
31.12.2005;11 Aegidii;Wohnberechtigte Bevölkerung;1294
31.12.2005;12 Überwasser;Wohnberechtigte Bevölkerung;1308
31.12.2005;13 Dom;Wohnberechtigte Bevölkerung;2084
31.12.2005;14 Buddenturm;Wohnberechtigte Bevölkerung;2162
31.12.2005;15 Martini;Wohnberechtigte Bevölkerung;1284
31.12.2005;21 Pluggendorf;Wohnberechtigte Bevölkerung;4199
31.12.2005;22 Josef;Wohnberechtigte Bevölkerung;7868
31.12.2005;23 Bahnhof;Wohnberechtigte Bevölkerung;993
31.12.2005;24 Hansaplatz;Wohnberechtigte Bevölkerung;6260
31.12.2005;25 Mauritz-West;Wohnberechtigte Bevölkerung;5561
31.12.2005;26 Schlachthof;Wohnberechtigte Bevölkerung;4623
31.12.2005;27 Kreuz;Wohnberechtigte Bevölkerung;11606
31.12.2005;28 Neutor;Wohnberechtigte Bevölkerung;3714
31.12.2005;29 Schloss;Wohnberechtigte Bevölkerung;1850
31.12.2005;31 Aaseestadt;Wohnberechtigte Bevölkerung;5338
31.12.2005;32 Geist;Wohnberechtigte Bevölkerung;8643
31.12.2005;33 Schützenhof;Wohnberechtigte Bevölkerung;6873
31.12.2005;34 Düesberg;Wohnberechtigte Bevölkerung;6583
31.12.2005;43 Hafen;Wohnberechtigte Bevölkerung;907
31.12.2005;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5089
31.12.2005;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9702
31.12.2005;46 Rumphorst;Wohnberechtigte Bevölkerung;7997
31.12.2005;47 Uppenberg;Wohnberechtigte Bevölkerung;7278
31.12.2005;51 Gievenbeck;Wohnberechtigte Bevölkerung;18253
31.12.2005;52 Sentrup;Wohnberechtigte Bevölkerung;6384
31.12.2005;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9365
31.12.2005;56 Albachten;Wohnberechtigte Bevölkerung;5126
31.12.2005;57 Roxel;Wohnberechtigte Bevölkerung;7772
31.12.2005;58 Nienberge;Wohnberechtigte Bevölkerung;6477
31.12.2005;61 Coerde;Wohnberechtigte Bevölkerung;9888
31.12.2005;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5062
31.12.2005;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10815
31.12.2005;68 Sprakel;Wohnberechtigte Bevölkerung;2716
31.12.2005;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9601
31.12.2005;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3342
31.12.2005;77 Handorf;Wohnberechtigte Bevölkerung;7203
31.12.2005;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4788
31.12.2005;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6075
31.12.2005;86 Angelmodde;Wohnberechtigte Bevölkerung;7592
31.12.2005;87 Wolbeck;Wohnberechtigte Bevölkerung;8676
31.12.2005;91 Berg Fidel;Wohnberechtigte Bevölkerung;5691
31.12.2005;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6833
31.12.2005;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9755
31.12.2005;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8846
31.12.2005;98 Amelsbüren;Wohnberechtigte Bevölkerung;5449
31.12.2006;11 Aegidii;Wohnberechtigte Bevölkerung;1358
31.12.2006;12 Überwasser;Wohnberechtigte Bevölkerung;1262
31.12.2006;13 Dom;Wohnberechtigte Bevölkerung;2052
31.12.2006;14 Buddenturm;Wohnberechtigte Bevölkerung;2186
31.12.2006;15 Martini;Wohnberechtigte Bevölkerung;1276
31.12.2006;21 Pluggendorf;Wohnberechtigte Bevölkerung;3821
31.12.2006;22 Josef;Wohnberechtigte Bevölkerung;7827
31.12.2006;23 Bahnhof;Wohnberechtigte Bevölkerung;1008
31.12.2006;24 Hansaplatz;Wohnberechtigte Bevölkerung;6278
31.12.2006;25 Mauritz-West;Wohnberechtigte Bevölkerung;5628
31.12.2006;26 Schlachthof;Wohnberechtigte Bevölkerung;4735
31.12.2006;27 Kreuz;Wohnberechtigte Bevölkerung;11592
31.12.2006;28 Neutor;Wohnberechtigte Bevölkerung;3723
31.12.2006;29 Schloss;Wohnberechtigte Bevölkerung;1868
31.12.2006;31 Aaseestadt;Wohnberechtigte Bevölkerung;5346
31.12.2006;32 Geist;Wohnberechtigte Bevölkerung;8642
31.12.2006;33 Schützenhof;Wohnberechtigte Bevölkerung;6935
31.12.2006;34 Düesberg;Wohnberechtigte Bevölkerung;6615
31.12.2006;43 Hafen;Wohnberechtigte Bevölkerung;924
31.12.2006;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5122
31.12.2006;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9761
31.12.2006;46 Rumphorst;Wohnberechtigte Bevölkerung;7990
31.12.2006;47 Uppenberg;Wohnberechtigte Bevölkerung;7283
31.12.2006;51 Gievenbeck;Wohnberechtigte Bevölkerung;18485
31.12.2006;52 Sentrup;Wohnberechtigte Bevölkerung;6388
